url,title,area,construct_date,rooms,has_elevator,has_parking,has_warehouse,type,city,floor,price_per_meter,price
https://divar.ir/v/۷۵متری-فول-امکانات-خوش-نقشه_آپارتمان_کرج_شاهین-ویلا_دیوار/gYzf3q7s,۷۵متری فول امکانات خوش نقشه,75,1393,2,True,True,True,آپارتمان,شاهین‌ویلا,6,14266000,1070000000
https://divar.ir/v/اپارتمان-خوش-نقشه-پارکینگ-در-حیاط_آپارتمان_کرج_مارلیک_دیوار/gY6D12UU,اپارتمان خوش نقشه پارکینگ در حیاط,75,1386,2,False,False,True,آپارتمان,مارلیک,1,11333000,850000000
https://divar.ir/v/آپارتمان-۱۰۰-متری-دوخوابه_آپارتمان_کرج_مارلیک_دیوار/gYTf6wYc,آپارتمان ۱۰۰ متری دوخوابه,100,1384,2,False,True,True,آپارتمان,مارلیک,2,9100000,910000000
https://divar.ir/v/آپارتمان-۷۰-متر-یک-خوابه-تک-واحد_آپارتمان_کرج_حیدرآباد_دیوار/gY6Dl10M,آپارتمان،۷۰ متر،یک خوابه،تک واحد,70,1389,1,False,False,False,آپارتمان,حیدرآباد,1,9000000,630000000
https://divar.ir/v/46-متری-شیک-طبقه-اول-پارکینگ-اختصاصی_آپارتمان_کرج_شهر-جدید-اندیشه_دیوار/gYtDR7_4,46 متری شیک/طبقه اول/پارکینگ اختصاصی,46,1394,1,False,True,True,آپارتمان,شهر جدید اندیشه,1,17500000,805000000
https://divar.ir/v/50-متری-باپارکینگ-سندی-در-فاز-یک-اندیشه_آپارتمان_کرج_شهر-جدید-اندیشه_دیوار/gYe_jkjj,50 متری باپارکینگ سندی در فاز یک اندیشه,50,1394,1,False,True,True,آپارتمان,شهر جدید اندیشه,3,13400000,670000000
https://divar.ir/v/اپارتمان-50-متری-خوش-نقشه-در-قلب-اندیشه_آپارتمان_کرج_شهر-جدید-اندیشه_دیوار/gYmfSDG4,اپارتمان 50 متری خوش نقشه در قلب اندیشه,50,1395,1,False,True,True,آپارتمان,شهر جدید اندیشه,3,13600000,680000000
https://divar.ir/v/آپارتمان-۷۰متر-دوخوابه-لوکیشن_آپارتمان_کرج_گلشهر_دیوار/gY6_EcWT,آپارتمان ۷۰متر دوخوابه لوکیشن,70,1392,2,False,False,True,آپارتمان,گلشهر,2,12428000,870000000
https://divar.ir/v/مسکن-مهر-ماهدشت-۸۰-متری_آپارتمان_کرج_شهرک-البرز_دیوار/gY6HFNQP,مسکن مهر ماهدشت ۸۰ متری,80,1397,2,True,True,False,آپارتمان,شهرک البرز,2,9750000,780000000
https://divar.ir/v/53متر-با-پارکینگ-واسانسور-فول-فازیک-اندیشه_آپارتمان_کرج_شهر-جدید-اندیشه_دیوار/gY6_kjXW,53متر/با پارکینگ واسانسور/فول/فازیک اندیشه,52,1396,1,True,True,True,آپارتمان,شهر جدید اندیشه,2,17115000,890000000
https://divar.ir/v/۶۲متر-دوخواب-پارکینگ-طبقه-اول-۲۰مترحیاط-خلوت_آپارتمان_کرج_شهر-جدید-اندیشه_دیوار/gY6_kZyH,۶۲متر/دوخواب/پارکینگ طبقه اول/۲۰مترحیاط خلوت,62,1394,2,False,True,True,آپارتمان,شهر جدید اندیشه,1,12096000,750000000
https://divar.ir/v/اپارتمان-۵۰متری-شهرک-ناز_آپارتمان_کرج_مشکین-دشت_دیوار/gY67UX1Z,اپارتمان ۵۰متری شهرک ناز,50,1380,1,False,False,False,آپارتمان,مشکین‌دشت,3,9000000,450000000
https://divar.ir/v/آپارتمان-۷۵متری-خوش-نقشه-ساماندهی_آپارتمان_کرج_ساماندهی_دیوار/gY6_0Imx,آپارتمان ۷۵متری خوش نقشه ساماندهی,75,1388,2,False,True,True,آپارتمان,ساماندهی,1,15066000,1130000000
https://divar.ir/v/آپارتمان-شیک-۶۲-متری۴-سال-ساخت-۲-خواب-ط۲_آپارتمان_کرج_شهر-جدید-اندیشه_دیوار/gYWDn3cd,آپارتمان شیک  ۶۲ متری۴ سال ساخت ۲ خواب ط۲,62,1397,2,False,True,True,آپارتمان,شهر جدید اندیشه,2,16129000,1000000000
https://divar.ir/v/اپارتمان60متری-خوش-نقشه-سندتک-برگ-اندیشه_آپارتمان_کرج_شهر-جدید-اندیشه_دیوار/gY6fUo8h,اپارتمان60متری/خوش نقشه/سندتک برگ/اندیشه,60,1392,1,True,True,True,آپارتمان,شهر جدید اندیشه,1,13833000,830000000
https://divar.ir/v/50-متر-فول-بازسازی-با-ممبران_آپارتمان_کرج_شهر-جدید-اندیشه_دیوار/gY33Ll-5,50 متر فول بازسازی با ممبران,50,1396,1,True,True,True,آپارتمان,شهر جدید اندیشه,2,23000000,1150000000
https://divar.ir/v/47-متر-سنددار-اندیشه_آپارتمان_کرج_شهر-جدید-اندیشه_دیوار/gY3fdRSM,47 متر سنددار اندیشه,47,1396,1,False,False,True,آپارتمان,شهر جدید اندیشه,2,20212000,950000000
https://divar.ir/v/اپارتمان۴۸متری-فول-ممبران_آپارتمان_کرج_شهر-جدید-اندیشه_دیوار/gY67Ukuh,اپارتمان۴۸متری/فول/ممبران,48,1400,1,False,True,True,آپارتمان,شهر جدید اندیشه,2,13437000,645000000
https://divar.ir/v/فروش-آپارتمان-55متری_آپارتمان_کرج_شهریار_دیوار/gY6D1DNN,فروش  آپارتمان 55متری,55,1400,1,False,False,True,آپارتمان,شهریار,4,5818000,320000000
https://divar.ir/v/آپارتمان-۶۶-متری-مارلیک-گلریز-معاوضه_آپارتمان_کرج_مارلیک_دیوار/gY3_eRm-,آپارتمان ۶۶ متری مارلیک گلریز +معاوضه,66,1383,1,False,True,True,آپارتمان,مارلیک,3,11545000,762000000
https://divar.ir/v/60-متری-2-خواب_آپارتمان_کرج_شهر-جدید-اندیشه_دیوار/gY6DlJ-Q,60 متری 2 خواب,60,1390,2,False,True,True,آپارتمان,شهر جدید اندیشه,2,19166000,1150000000
https://divar.ir/v/46متر-یک-خواب-طبقه6-روبه-نما-پارکینگ-سندی_آپارتمان_کرج_شهر-جدید-اندیشه_دیوار/gYyLloFb,46متر.یک خواب.طبقه6.روبه نما.پارکینگ سندی,46,1393,1,True,True,True,آپارتمان,شهر جدید اندیشه,6,15652000,720000000
https://divar.ir/v/۷۲متری-فول-پرنیان-نورگیر_آپارتمان_کرج_مارلیک_دیوار/gYmLy9PM,۷۲متری/ فول/ پرنیان/ نورگیر,72,1394,2,True,True,True,آپارتمان,مارلیک,5,15138000,1090000000
https://divar.ir/v/پنت-هاوس-در-جعفراباد-ویو-ابدی_آپارتمان_کرج_مشکین-دشت_دیوار/gY670UhE,پنت هاوس در جعفراباد ، ویو ابدی,110,1401,2,True,True,True,آپارتمان,مشکین‌دشت,6,9272000,1020000000
https://divar.ir/v/آپارتمان-تک-واحدی_آپارتمان_کرج_مارلیک_دیوار/gY670Ge_,آپارتمان تک واحدی,60,1398,1,False,False,True,آپارتمان,مارلیک,3,8333000,500000000
https://divar.ir/v/۷۲متری-شهرک-فهمیده_آپارتمان_کرج_شهرک-فهمیده_دیوار/gY6_kXxW,۷۲متری شهرک فهمیده,72,1390,2,True,True,True,آپارتمان,شهرک فهمیده,1,16388000,1180000000
https://divar.ir/v/۷۵-متر-آپارتمان-۱-خواب-قولنامه-در-گلستانها_آپارتمان_کرج_باغستان_دیوار/gY63E0m0,۷۵ متر آپارتمان ۱ خواب قولنامه در گلستانها,75,1383,1,False,True,True,آپارتمان,باغستان,3,12333000,925000000
https://divar.ir/v/آپارتمان-مسکونی-71متر_آپارتمان_کرج_شهریار_دیوار/gY670fGR,آپارتمان مسکونی  . 71متر,71,1385,2,True,False,True,آپارتمان,شهریار,3,16197000,1150000000
https://divar.ir/v/آپارتمان-۹۰-متر-دوخوابه_آپارتمان_کرج_شهرک-اوج_دیوار/gY6_EOBE,آپارتمان، ۹۰ متر، دوخوابه,90,1384,3,True,False,False,آپارتمان,شهرک اوج,4,9444000,850000000
https://divar.ir/v/آپارتمان-95متر-پونه-شرقی_آپارتمان_کرج_گلشهر_دیوار/gY6zkJXc,آپارتمان 95متر پونه شرقی,95,1391,2,True,False,True,آپارتمان,گلشهر,3,12631000,1200000000
https://divar.ir/v/49-06متری-پارکینگدار-سندی-انباری_آپارتمان_کرج_شهر-جدید-اندیشه_دیوار/gY63UeYJ,49.06متری پارکینگدار (سندی)+انباری,49,1392,1,False,True,True,آپارتمان,شهر جدید اندیشه,3,22040000,1080000000
https://divar.ir/v/اپارتمان-۶۰-متری-واقع-در-فاز-۴_آپارتمان_کرج_مهرشهر-فاز-۴_دیوار/gY670lRL,اپارتمان ۶۰ متری واقع در فاز ۴,60,1386,1,False,False,True,آپارتمان,مهرشهر - فاز ۴,4,16666000,1000000000
https://divar.ir/v/اپارتمان51متر-خوش-نقشه-نیاز-به-نقاشی_آپارتمان_کرج_کرج-نو_دیوار/gY670abK,اپارتمان51متر/خوش نقشه.نیاز به نقاشی,51,1390,1,False,False,True,آپارتمان,کرج نو,1,7352000,375000000
https://divar.ir/v/۶۵متر-۱خواب-فول_آپارتمان_کرج_شاهین-ویلا_دیوار/gY63kCQ1,۶۵متر ۱خواب فول,65,1396,1,True,True,True,آپارتمان,شاهین‌ویلا,7,10753000,699000000
https://divar.ir/v/اپارتمان-50-متری-پارکینگ_آپارتمان_کرج_شهر-جدید-اندیشه_دیوار/gY630DEO,اپارتمان 50 متری پارکینگ,50,1396,1,True,True,True,آپارتمان,شهر جدید اندیشه,3,15600000,780000000
https://divar.ir/v/۷۰-متر-۲-خواب-شیک-فرشیدفر-کوچه-آزادگان_آپارتمان_کرج_حیدرآباد_دیوار/gY63UHut,۷۰ متر ۲ خواب شیک فرشیدفر کوچه آزادگان,70,1395,2,False,False,True,آپارتمان,حیدرآباد,1,8571000,600000000
https://divar.ir/v/آپارتمان-۱۰۷متری_آپارتمان_کرج_مارلیک_دیوار/gY6z0g2_,آپارتمان ۱۰۷متری,107,1380,2,False,False,True,آپارتمان,مارلیک,3,9345000,1000000000
https://divar.ir/v/آپارتمان-۷۵متری_آپارتمان_کرج_کرج-نو_دیوار/gY6zkK1b,آپارتمان ۷۵متری,75,1386,2,True,False,False,آپارتمان,کرج نو,5,10000000,750000000
https://divar.ir/v/اپارتمان-۶۱-متر-فاز-یک-اندیشه_آپارتمان_کرج_شهر-جدید-اندیشه_دیوار/gY6zkbXW,اپارتمان ۶۱ متر فاز یک اندیشه,61,1376,2,False,False,True,آپارتمان,شهر جدید اندیشه,2,17000000,1037000000
https://divar.ir/v/آپارتمان-حیدرآباد-۶۵متر_آپارتمان_کرج_حیدرآباد_دیوار/gY63UAup,آپارتمان حیدرآباد ۶۵متر,65,1385,1,False,True,True,آپارتمان,حیدرآباد,2,9076000,590000000
https://divar.ir/v/واحد-مناسب-عروس-داماد_آپارتمان_کرج_حیدرآباد_دیوار/gY6zUBNz,واحد مناسب عروس داماد,50,1382,1,False,False,False,آپارتمان,حیدرآباد,0,7400000,370000000
