url,title,area,construct_date,rooms,has_elevator,has_parking,has_warehouse,type,city,floor,price_per_meter,price
https://divar.ir/v/85مترواحدفوول-پارکینگ-اسانسور-خوش-نقشه-فازیک_آپارتمان_کرج_شهر-جدید-اندیشه_دیوار/gY9rAxpf,85مترواحدفوول/پارکینگ/اسانسور/خوش نقشه/فازیک,85,1400,2,True,True,True,آپارتمان,شهر جدید اندیشه,5,18705000,1590000000
https://divar.ir/v/واحد-۱۰۱-متری-حسین-آباد-راه-اهن-شهرک-بنفشه_آپارتمان_کرج_شهرک-بنفشه_دیوار/gY9vw2si,واحد ۱۰۱ متری حسین آباد راه اهن شهرک بنفشه,101,1380,2,False,True,True,آپارتمان,شهرک بنفشه,2,12376000,1250000000
https://divar.ir/v/آپارتمان-92-متر-2-خواب_آپارتمان_کرج_باغستان_دیوار/gY9rg4Ck,آپارتمان / 92 متر / 2 خواب,92,1387,2,True,True,True,آپارتمان,باغستان,4,18586000,1710000000
https://divar.ir/v/۵۸متر-خوش-نقشه-با-امکانات-سند-تک-برگ_آپارتمان_کرج_شهر-جدید-اندیشه_دیوار/gY8fPoMM,۵۸متر خوش نقشه با امکانات سند تک برگ,58,1396,1,True,True,True,آپارتمان,شهر جدید اندیشه,2,24482000,1420000000
https://divar.ir/v/آپارتمان-۱۲۶متر-مشکین-دشت-محدوده-زنبق-ها_آپارتمان_کرج_مشکین-دشت_دیوار/gY9rAFJR,آپارتمان ۱۲۶متر/مشکین دشت/محدوده زنبق ها,126,1399,2,True,True,True,آپارتمان,مشکین‌دشت,1,10833000,1365000000
https://divar.ir/v/فروش-آپارتمان-123متری-خوش-نقشه-در-گلشهر-کرج_آپارتمان_کرج_گلشهر_دیوار/gYzrt2bA,فروش آپارتمان 123متری خوش نقشه در گلشهر کرج,123,1398,2,True,True,True,آپارتمان,گلشهر,3,12495000,1537000000
https://divar.ir/v/160-متر-3-خوابه-طالقانی-رو-به-رو-سرم-سازی_آپارتمان_کرج_حصارک_دیوار/gY9rwTlh,160 متر 3 خوابه،طالقانی رو به رو سرم سازی,160,1400,3,True,True,True,آپارتمان,حصارک,5,8750000,1400000000
https://divar.ir/v/آپارتمان-سه-خوابه-۱۲۵-متری_آپارتمان_کرج_کمال-شهر_دیوار/gY9rQtgi,آپارتمان سه خوابه ۱۲۵ متری,125,1396,3,True,True,True,آپارتمان,کمال‌شهر,3,12560000,1570000000
https://divar.ir/v/اپارتمان-۸۸متری-دوخواب_آپارتمان_کرج_ملارد_دیوار/gY9rwovi,اپارتمان ۸۸متری دوخواب,88,1390,2,False,False,False,آپارتمان,ملارد,3,5113000,450000000
https://divar.ir/v/اپارتمان_آپارتمان_کرج_مشکین-دشت_دیوار/gY9ngvau,اپارتمان,101,1400,2,True,True,True,آپارتمان,مشکین‌دشت,6,17821000,1800000000
https://divar.ir/v/۷۵متردوخواب-ایران-زمین-دوکله-کم-واحد_آپارتمان_کرج_حصارک_دیوار/gY9rAcEU,۷۵متردوخواب ایران زمین دوکله کم واحد,75,1387,2,False,True,True,آپارتمان,حصارک,2,9333000,700000000
https://divar.ir/v/۴۵-متر-فول-امکانات-با-وام-بانکی_آپارتمان_کرج_شهر-جدید-اندیشه_دیوار/gY9jAHHx,۴۵ متر فول امکانات با وام بانکی,45,1393,1,True,True,True,آپارتمان,شهر جدید اندیشه,4,27777000,1250000000
https://divar.ir/v/فروش-اپارتمان-۸۰متری-شهرک-ارم-شقایق-غربی-_آپارتمان_کرج_شهرک-وحدت_دیوار/gY9nQPmb,فروش اپارتمان ۸۰متری شهرک ارم (شقایق غربی),80,1396,2,True,False,True,آپارتمان,شهرک وحدت,7,10250000,820000000
https://divar.ir/v/۷۰-متر-دو-خوابه_آپارتمان_کرج_گلشهر_دیوار/gY9ngOHh,۷۰ متر دو خوابه,70,1389,2,False,False,False,آپارتمان,گلشهر,1,8642000,605000000
https://divar.ir/v/آپارتمان-زیر-همکف_آپارتمان_کرج_مارلیک_دیوار/gY9nw3sY,آپارتمان زیر همکف,40,1390,1,False,False,False,آپارتمان,مارلیک,0,6000000,240000000
https://divar.ir/v/آپارتمان-107متری-فول-فدک_آپارتمان_کرج_ساماندهی_دیوار/gY9nwoTY,آپارتمان 107متری فول فدک,107,1393,2,True,True,True,آپارتمان,ساماندهی,2,16355000,1750000000
https://divar.ir/v/فروش-۳۸-متری-تک-خواب-اندیشه-فاز-یک_آپارتمان_کرج_شهر-جدید-اندیشه_دیوار/gY9jgxLJ,فروش ۳۸ متری/تک خواب/اندیشه فاز یک,38,1395,1,True,True,True,آپارتمان,شهر جدید اندیشه,7,28947000,1100000000
https://divar.ir/v/اپارتمان-۶۰-متری-نور-گیر_آپارتمان_کرج_مارلیک_دیوار/gY9fg0Zf,اپارتمان ۶۰ متری نور گیر,60,1385,1,False,False,False,آپارتمان,مارلیک,1,6500000,390000000
https://divar.ir/v/۱۱۵-متر-تکواحدی-کوی-زنبق_آپارتمان_کرج_کوی-زنبق_دیوار/gY1L2mHS,۱۱۵ متر تکواحدی کوی زنبق,115,1385,2,False,True,True,آپارتمان,کوی زنبق,2,15217000,1750000000
https://divar.ir/v/آپارتمان-۷۸-متر-دوخواب_آپارتمان_کرج_شهرک-ابریشم_دیوار/gY5zjfce,آپارتمان ۷۸ متر دوخواب,78,1397,2,True,True,False,آپارتمان,شهرک ابریشم,0,8333000,650000000
https://divar.ir/v/48متر-پارکینگ-اختصاصی-پکیج-و-رادیاتور-شیک-اندیشه_آپارتمان_کرج_شهر-جدید-اندیشه_دیوار/gY4TfEqN,48متر پارکینگ اختصاصی پکیج و رادیاتور شیک اندیشه,48,1395,3,True,True,True,آپارتمان,شهر جدید اندیشه,3,15625000,750000000
https://divar.ir/v/49متر-آسانسور-خوش-نقشه-فول-دیزاین-شیک-در-اندیشه_آپارتمان_کرج_شهر-جدید-اندیشه_دیوار/gYsPt8qU,49متر آسانسور خوش نقشه فول دیزاین شیک در اندیشه,49,1395,1,True,False,True,آپارتمان,شهر جدید اندیشه,2,12244000,600000000
https://divar.ir/v/۹۲متر-شاهین-ویلا_آپارتمان_کرج_شاهین-ویلا_دیوار/gY9jQ600,۹۲متر شاهین ویلا,92,1386,2,True,True,True,آپارتمان,شاهین‌ویلا,1,18478000,1700000000
https://divar.ir/v/آپارتمان42متری-پارکینگ-طبقه-دوم-دوبر-نورگیر_آپارتمان_کرج_شهر-جدید-اندیشه_دیوار/gY9fgy5Y,آپارتمان42متری/پارکینگ/طبقه دوم/دوبر نورگیر,42,1395,1,False,True,True,آپارتمان,شهر جدید اندیشه,2,17857000,750000000
https://divar.ir/v/آپارتمان-۸۳-متری-دوخوابه-پروژه-مارگون_آپارتمان_کرج_شهرک-ابریشم_دیوار/gYunFODD,آپارتمان ۸۳ متری دوخوابه پروژه مارگون,83,1398,2,True,True,False,آپارتمان,شهرک ابریشم,6,8855000,735000000
https://divar.ir/v/۶۹-متر-فول-امکانات-سند-تکبرگی_آپارتمان_کرج_شهر-جدید-اندیشه_دیوار/gY9fAXdE,۶۹ متر فول امکانات سند تکبرگی,69,1395,2,True,True,True,آپارتمان,شهر جدید اندیشه,1,18115000,1250000000
